,Number of queens,Arrangement time,Number of solutions
0,4,0.0,2
1,5,0.0,10
2,6,0.0,4
3,7,0.0,40
4,8,0.015111207962036133,92
5,9,0.01183629035949707,352
6,10,0.06059861183166504,724
7,11,0.2546544075012207,2680
8,12,1.424255609512329,14200
9,13,7.362046241760254,73712
10,14,43.18369269371033,365596
11,15,289.73605704307556,2279184
