,Number of queens,Arrangement time,Number of solutions
0,4,0.0,2
1,5,0.0,10
2,6,0.0,4
3,7,0.0,40
4,8,0.0,92
5,9,0.01646280288696289,352
6,10,0.06115531921386719,724
7,11,0.27594971656799316,2680
8,12,1.3385040760040283,14200
9,13,7.339490175247192,73712
10,14,43.23062562942505,365596
11,15,284.3111550807953,2279184
12,16,2144.146931409836,14772512
