,Number of queens,Arrangement time,Number of solutions
0,4,0.0,2
1,5,0.0,10
2,6,0.0,4
3,7,0.0,40
4,8,0.0,92
5,9,0.01718878746032715,352
6,10,0.0644831657409668,724
7,11,0.26253533363342285,2680
8,12,1.3788268566131592,14200
9,13,7.9250898361206055,73712
10,14,91.75083565711975,365596
11,15,573.7508606910706,2279184
12,16,3831.7686898708344,14772512
13,17,17081.03615283966,62626723
