,Number of queens,Arrangement time,Number of solutions
0,4,0.0,2
1,5,0.0,10
2,6,0.0,4
3,7,0.0,40
4,8,0.0,92
5,9,0.0,352
6,10,0.03801393508911133,724
7,11,0.13097405433654785,2680
8,12,0.6344194412231445,14200
9,13,3.8133251667022705,73712
10,14,26.289300441741943,365596
11,15,233.22494840621948,2279184
12,16,1189.453761100769,14772512
13,17,10953.923332691193,95815104
