,Number of queens,Arrangement time,Number of solutions
0,4,0.0,2
1,5,0.0,10
2,6,0.0,4
3,7,0.0,40
4,8,0.007096529006958008,92
5,9,0.014844417572021484,352
6,10,0.0591120719909668,724
7,11,0.2761192321777344,2680
8,12,1.442981481552124,14200
9,13,7.566712379455566,73712
10,14,44.26048564910889,365596
