,Number of queens,Arrangement time
0,4,0.0014619827270507812
1,5,0.000202178955078125
2,6,0.0
3,7,0.0
4,8,0.0
5,9,0.0
6,10,0.0
7,11,0.0
8,12,0.0
9,13,0.0
10,14,0.007012844085693359
11,15,0.008866310119628906
12,16,0.017300128936767578
13,17,0.007179737091064453
14,18,0.06274032592773438
15,19,0.015299558639526367
16,20,0.3648495674133301
17,21,0.016168832778930664
18,22,3.0850894451141357
19,23,0.05073189735412598
20,24,0.7479701042175293
21,25,0.10687041282653809
22,26,0.8760123252868652
23,27,0.9832820892333984
24,28,7.648801326751709
25,29,4.983172655105591
26,30,220.59487175941467
27,31,54.30526614189148
28,32,356.6522240638733
29,33,592.6953401565552
30,34,8460.434633731842
31,35,1008.7158923149109
