,Number of queens,Arrangement time
0,4,0.0014777183532714844
1,5,0.0
2,6,0.0
3,7,0.0
4,8,0.0
5,9,0.0
6,10,0.0
7,11,0.0
8,12,0.0
9,13,0.004036903381347656
10,14,0.004093170166015625
11,15,0.0030045509338378906
12,16,0.020292997360229492
13,17,0.011859416961669922
14,18,0.08034992218017578
15,19,0.0059854984283447266
16,20,0.4009671211242676
17,21,0.017789363861083984
18,22,3.6191318035125732
19,23,0.05777144432067871
20,24,0.883251428604126
21,25,0.11236405372619629
22,26,0.8988568782806396
23,27,1.1188185214996338
24,28,7.612559080123901
25,29,4.007341384887695
26,30,180.74420475959778
27,31,62.37221169471741
28,32,411.6592586040497
29,33,656.8987011909485
