,Number of queens,Arrangement time
0,4,0.0009281635284423828
1,5,0.0
2,6,0.0010044574737548828
3,7,0.0
4,8,0.0010001659393310547
5,9,0.0
6,10,0.0
7,11,0.0009999275207519531
8,12,0.0
9,13,0.001001119613647461
10,14,0.0045964717864990234
11,15,0.0031347274780273438
12,16,0.02154850959777832
13,17,0.01244044303894043
14,18,0.08442497253417969
15,19,0.0
16,20,0.4339406490325928
17,21,0.02196979522705078
18,22,3.6923141479492188
19,23,0.05204057693481445
20,24,0.8968229293823242
21,25,0.11464858055114746
