,Number of queens,Arrangement time
0,4,0.0
1,5,0.0
2,6,0.015549898147583008
3,7,0.0
4,8,0.0
5,9,0.0
6,10,0.0
7,11,0.005177974700927734
8,12,0.0
9,13,0.0
10,14,0.0
11,15,0.010513067245483398
12,16,0.01569533348083496
13,17,0.0
14,18,0.07860755920410156
15,19,0.0
16,20,0.3616762161254883
17,21,0.015672922134399414
18,22,3.0299506187438965
19,23,0.04687952995300293
20,24,0.7844142913818359
21,25,0.09406280517578125
22,26,0.8326930999755859
23,27,0.9737062454223633
24,28,11.759464502334595
25,29,6.200000286102295
26,30,224.66655826568604
27,31,54.33207654953003
28,32,311.7652106285095
29,33,589.1972823143005
30,34,9707.42338013649
