,Number of queens,Arrangement time
0,4,0.0
1,5,0.0
2,6,0.0
3,7,0.0
4,8,0.0
5,9,0.0
6,10,0.0045108795166015625
7,11,0.0005180835723876953
8,12,0.0
9,13,0.0
10,14,0.005275726318359375
11,15,0.003024578094482422
12,16,0.01949024200439453
13,17,0.012332916259765625
14,18,0.08174896240234375
15,19,0.008224725723266602
16,20,0.4017016887664795
17,21,0.022125959396362305
18,22,3.645594358444214
19,23,0.05508232116699219
20,24,0.8899729251861572
21,25,0.11078143119812012
22,26,0.8650226593017578
23,27,1.0166733264923096
24,28,6.713220834732056
25,29,3.540198564529419
26,30,161.10348296165466
