,Number of queens,Arrangement time,Solution found
0,4,0.016148090362548828,True
1,5,0.015614748001098633,True
2,6,0.0,True
3,7,0.017863750457763672,True
4,8,0.004160642623901367,True
5,9,0.01762247085571289,True
