,Number of queens,Arrangement time,Energy,Validity
0,4,0.013505935668945312,0.0,True
1,24,0.09292292594909668,0.0,True
2,44,0.6948721408843994,0.0,True
3,64,2.9026834964752197,0.0,True
4,84,8.4431471824646,0.0,True
5,104,23.54023003578186,2.0,False
6,124,51.0001003742218,0.0,True
7,144,94.3680956363678,2.0,False
8,164,169.69519352912903,0.0,True
9,184,279.82595801353455,0.0,True
10,204,460.91151905059814,2.0,False
11,224,728.9618556499481,0.0,True
12,244,1017.7325174808502,-84.0,False
