,Number of queens,Arrangement time,Solution found
0,4,0.0,True
1,22,0.16660547256469727,True
2,40,0.957310676574707,True
3,58,3.325618028640747,True
4,76,10.84718108177185,True
5,94,23.12651777267456,True
6,112,45.94624710083008,True
7,130,136.59163355827332,True
8,148,259.61882758140564,True
9,166,402.6849162578583,True
10,184,370.3577139377594,True
11,202,497.26397371292114,True
12,220,907.2447102069855,True
